restaurant_name,rating,reviews_given,restaurant_location,cuisines,average_cost_for_two,order_category,city,restaurant_category,has_online_order,has_table_booking,num_cuisines
Mayonaise,3.9,58,Banaswadi,"Cafe, Continental, Beverages",500.0,Dine-out,Kammanahalli,Cafe,1,0,3
Chichaba's Taj,3.8,292,Kalyan Nagar,"Biryani, North Indian, Mughlai",600.0,Dine-out,Kammanahalli,Casual Dining,1,0,3
Draggers CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,4.0,277,Kalyan Nagar,"Cafe, Continental, North Indian",900.0,Dine-out,Kammanahalli,Cafe,1,0,3
Srinathjis,3.6,63,Banaswadi,"North Indian, Cafe, Chinese",550.0,Dine-out,Kammanahalli,Casual Dining,1,0,3
The Original Bistro,4.1,71,Kalyan Nagar,"Italian, Beverages",600.0,Dine-out,Kammanahalli,Casual Dining,0,0,2
Fragrant Kitchen,3.7,110,Kalyan Nagar,"North Indian, Chinese, Cafe, Desserts",700.0,Dine-out,Kammanahalli,Casual Dining,0,0,4
Raanthal,0.0,0,HBR Layout,"South Indian, Kerala",400.0,Dine-out,Kammanahalli,Quick Bites,0,0,2
Moghul's Restaurant,3.0,51,HBR Layout,"Mughlai, North Indian, Chinese",700.0,Dine-out,Kammanahalli,Casual Dining,1,0,3
Lil Asia,3.4,7,Banaswadi,"Chinese, Thai, Nepalese, Tibetan",350.0,Dine-out,Kammanahalli,Casual Dining,1,0,4
Delicious Momos,3.9,52,Kalyan Nagar,"Chinese, Momos",200.0,Dine-out,Kammanahalli,Kiosk,0,0,2
The Bawarchi,2.5,256,Banaswadi,"North Indian, Chinese",1050.0,Dine-out,Kammanahalli,Casual Dining,1,0,2
Le Spice Restaurant,3.4,122,Banaswadi,"Arabian, Kerala, North Indian, Chinese, Beverages",700.0,Dine-out,Kammanahalli,Casual Dining,1,0,5
Aroma Spice,3.9,123,Kalyan Nagar,"Andhra, Chinese, North Indian, Seafood",800.0,Dine-out,Kammanahalli,Casual Dining,1,1,4
My China,3.0,14,Kalyan Nagar,"Chinese, Asian, Malaysian",600.0,Dine-out,Kammanahalli,Casual Dining,0,0,3
New Krishna Sagar,4.0,57,HBR Layout,"North Indian, Chinese, South Indian, Street Food",400.0,Dine-out,Kammanahalli,Casual Dining,1,0,4
New Shanthi Sagar,0.0,0,Banaswadi,"North Indian, South Indian, Fast Food",450.0,Dine-out,Kammanahalli,Casual Dining,0,0,3
Navami Kitchen,3.2,5,Banaswadi,"Andhra, North Indian, Chinese, Seafood",500.0,Dine-out,Kammanahalli,Casual Dining,1,0,4
Knowhere,3.9,58,Banaswadi,"Continental, Finger Food",1300.0,Dine-out,Kammanahalli,Bar,0,0,2
Food Magic Restaurant,3.8,88,Kalyan Nagar,"Kerala, North Indian, Chinese, Arabian",400.0,Dine-out,Kammanahalli,Quick Bites,1,0,4
Cuppa Joy,0.0,0,Kalyan Nagar,"Cafe, Continental, Sandwich",500.0,Dine-out,Kammanahalli,Cafe,1,0,3
Brew Bakes Cafe,3.7,46,Kalyan Nagar,Cafe,500.0,Dine-out,Kammanahalli,Cafe,0,0,1
Nandhini,3.7,111,Banaswadi,"Andhra, Chinese, North Indian",600.0,Dine-out,Kammanahalli,Casual Dining,1,0,3
Whistling Tandoor,3.0,24,Banaswadi,"Continental, Chinese, Fast Food",600.0,Dine-out,Kammanahalli,Casual Dining,0,0,3
Adukkala Restaurant,2.9,128,Banaswadi,Kerala,600.0,Dine-out,Kammanahalli,Casual Dining,1,0,1
Sizzling Szechuan,3.9,228,Banaswadi,"Chinese, Thai, Seafood",600.0,Dine-out,Kammanahalli,Casual Dining,1,0,3
ILA Kitchen,3.7,16,Banaswadi,Kerala,300.0,Dine-out,Kammanahalli,Quick Bites,1,0,1
Mani's Dum Biryani,3.5,122,Kalyan Nagar,"Biryani, Andhra",750.0,Dine-out,Kammanahalli,Casual Dining,1,0,2
Inchara Restaurant,3.5,183,Banaswadi,"Chinese, North Indian, Hyderabadi, Biryani",500.0,Dine-out,Kammanahalli,Casual Dining,1,0,4
Cafe Nibras,3.4,11,Banaswadi,"Cafe, Continental",400.0,Dine-out,Kammanahalli,Cafe,0,0,2
New Salem Spices,3.5,50,Banaswadi,"South Indian, Chettinad, Chinese",600.0,Dine-out,Kammanahalli,Casual Dining,0,0,3
Cafe Get Hooked,3.7,21,Banaswadi,Cafe,600.0,Dine-out,Kammanahalli,Cafe,1,0,1
Alter Ego D'Deli,3.8,141,Kalyan Nagar,"Cafe, Continental, Italian, Burger, Pizza, Salad, Steak",650.0,Dine-out,Kammanahalli,Cafe,1,0,7
The Sky Lounge - Tamarind Hospitality,3.7,102,Banaswadi,"North Indian, South Indian, Chinese, Continental",1200.0,Dine-out,Kammanahalli,Bar,0,0,4
Hotel Little Imperial,3.7,92,Kalyan Nagar,"North Indian, Chinese, South Indian",500.0,Dine-out,Kammanahalli,Casual Dining,1,0,3
Amigos Kitchen,3.7,66,Banaswadi,"Chinese, North Indian, Mexican, Fast Food",400.0,Dine-out,Kammanahalli,Quick Bites,1,0,4
The Pipe Rack,3.7,38,Kalyan Nagar,Cafe,700.0,Dine-out,Kammanahalli,Casual Dining,0,0,1
Noodles,3.8,103,Banaswadi,"Chinese, Momos",500.0,Dine-out,Kammanahalli,Casual Dining,1,0,2
Kabsa House,3.6,24,Kalyan Nagar,North Indian,500.0,Dine-out,Kammanahalli,Casual Dining,0,0,1
The Sanctuary,3.9,62,Banaswadi,"Cafe, Fast Food",450.0,Dine-out,Kammanahalli,Cafe,0,0,2
Cafe Coffee Day,3.6,57,Kalyan Nagar,Cafe,650.0,Dine-out,Kammanahalli,Cafe,1,0,1
Shahi Hyderabadi Dum Biryani,3.1,151,Kalyan Nagar,"North Indian, Biryani",500.0,Dine-out,Kammanahalli,Casual Dining,1,0,2
Hongkong Noodles,3.8,80,Kalyan Nagar,Chinese,750.0,Dine-out,Kammanahalli,Casual Dining,1,0,1
The Urban Roof,3.6,80,Kalyan Nagar,"Italian, Chinese, Continental",800.0,Dine-out,Kammanahalli,Casual Dining,1,0,3
Orchid Wine And Dine,2.9,10,Banaswadi,"North Indian, Chinese, Mughlai",700.0,Dine-out,Kammanahalli,Casual Dining,0,0,3
New Kadai,3.5,24,Kalyan Nagar,"North Indian, Chinese",550.0,Dine-out,Kammanahalli,Casual Dining,1,0,2
Degchi Restaurant,3.7,103,Banaswadi,North Indian,600.0,Dine-out,Kammanahalli,Casual Dining,0,0,1
Ana's Midnight Cafe,0.0,0,Banaswadi,"Fast Food, Juices",500.0,Dine-out,Kammanahalli,Unknown,0,0,2
Rasa Cafe,3.4,6,Kalyan Nagar,"Cafe, American, Italian, Continental",600.0,Dine-out,Kammanahalli,Cafe,0,0,4
XO Cafe,0.0,0,Banaswadi,Cafe,300.0,Dine-out,Kammanahalli,Cafe,1,0,1
The White Owl - Resto Cafe,0.0,0,Banaswadi,"Continental, Chinese",550.0,Dine-out,Kammanahalli,Casual Dining,0,0,2
Tang of Jamaica,3.4,28,Kalyan Nagar,"American, Mexican, BBQ",900.0,Dine-out,Kammanahalli,Casual Dining,0,0,3
New Udupi Park,3.0,11,Banaswadi,"South Indian, North Indian, Chinese",400.0,Dine-out,Kammanahalli,Casual Dining,0,0,3
Alibaba Cafe and Restaurant,2.9,55,Kalyan Nagar,"Arabian, Middle Eastern",700.0,Dine-out,Kammanahalli,Casual Dining,0,0,2
De3 - The Eatery,3.1,13,North Bangalore,Fast Food,250.0,Dine-out,Kammanahalli,Food Truck,0,0,1
Cafe 7,0.0,0,Kalyan Nagar,Street Food,100.0,Dine-out,Kammanahalli,Quick Bites,1,0,1
Cafe China,3.7,42,Banaswadi,Chinese,500.0,Dine-out,Kammanahalli,Quick Bites,1,0,1
Shake It,0.0,0,Banaswadi,Beverages,100.0,Dine-out,Kammanahalli,Beverage Shop,0,0,1
Coffee@Arens,3.8,78,Banaswadi,"Cafe, Fast Food",550.0,Dine-out,Kammanahalli,Cafe,1,0,2
Kings Court,3.1,12,Kalyan Nagar,"North Indian, Mughlai, Chinese",800.0,Dine-out,Kammanahalli,Casual Dining,1,0,3
Paradox Rest-O-Cafe,3.7,124,Kalyan Nagar,"Continental, Steak",600.0,Dine-out,Kammanahalli,Casual Dining,1,0,2
Taste Of The Nation,3.0,110,Banaswadi,North Indian,650.0,Dine-out,Kammanahalli,Unknown,0,0,1
Balaji Biriyani Corner,0.0,0,HBR Layout,"Biryani, South Indian, Chinese",350.0,Dine-out,Kammanahalli,Quick Bites,0,0,3
Ali Bhai- Rolls and Kebabs,0.0,0,Kalyan Nagar,"Rolls, North Indian, Mughlai",300.0,Dine-out,Kammanahalli,Unknown,1,0,3
Oregano Pizzeria,0.0,0,Kalyan Nagar,"Italian, Pizza, Fast Food, Salad",450.0,Dine-out,Kammanahalli,Quick Bites,0,0,4
Kartik,3.4,6,Banaswadi,"Chinese, North Indian",700.0,Dine-out,Kammanahalli,Casual Dining,0,0,2
Urban Bakes & Cafe,3.7,33,Banaswadi,"Cafe, Bakery",500.0,Dine-out,Kammanahalli,Cafe,0,0,2
T4U Cafe,3.6,17,Banaswadi,"Chinese, Fast Food, Beverages",400.0,Dine-out,Kammanahalli,Quick Bites,0,0,3
Irie,3.3,4,Kalyan Nagar,"North Indian, Chinese",800.0,Dine-out,Kammanahalli,Casual Dining,0,0,2
The Flavours,3.2,7,Kalyan Nagar,"Kerala, Chinese, Arabian, Biryani",500.0,Dine-out,Kammanahalli,Casual Dining,0,0,4
OvenTreats - Patisserie.Bistro,4.0,82,Kalyan Nagar,American,1000.0,Dine-out,Kammanahalli,Casual Dining,0,0,1
JamayCafe,2.8,16,Kalyan Nagar,Cafe,600.0,Dine-out,Kammanahalli,Cafe,0,0,1
Specialist Restaurant,3.1,9,Kalyan Nagar,"North Indian, South Indian, Chinese",400.0,Dine-out,Kammanahalli,Quick Bites,0,0,3
Raees Restaurant,3.3,6,Banaswadi,"Chinese, North Indian, South Indian",500.0,Dine-out,Kammanahalli,Casual Dining,0,0,3
Hatti Punjab Di,0.0,0,Banaswadi,"North Indian, Chinese",550.0,Dine-out,Kammanahalli,Quick Bites,0,0,2
Chaai Resto,3.9,97,Kalyan Nagar,"Cafe, Fast Food, Beverages",350.0,Dine-out,Kammanahalli,Cafe,1,0,3
Ammi's Biryani,2.7,171,Kalyan Nagar,"Biryani, North Indian",500.0,Dine-out,Kammanahalli,Casual Dining,1,0,2
Sugar N Spice,2.7,16,Kalyan Nagar,"Fast Food, Beverages",400.0,Dine-out,Kammanahalli,Quick Bites,0,0,2
Pizza Hut,2.7,442,Kalyan Nagar,"Pizza, Fast Food",750.0,Dine-out,Kammanahalli,Casual Dining,1,0,2
The Chocolate Heaven,4.1,415,Kalyan Nagar,"Desserts, Cafe, Italian, Beverages",700.0,Dine-out,Kammanahalli,Dessert Parlor,1,0,4
Mavalli Tiffin Room (MTR),4.1,208,Kalyan Nagar,South Indian,250.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
The Feast Fries,3.6,21,Kalyan Nagar,Fast Food,200.0,Dine-out,Kammanahalli,Quick Bites,1,0,1
K.G.N Kabbab Corner,4.0,91,Kalyan Nagar,"North Indian, Kebab",500.0,Dine-out,Kammanahalli,Quick Bites,0,0,2
Donne Biriyani Mane,3.8,164,Banaswadi,Biryani,300.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
Kesar Sweet Shop And Fast Food,3.9,54,Kalyan Nagar,"North Indian, South Indian, Chinese, Street Food, Mithai",500.0,Dine-out,Kammanahalli,Quick Bites,0,0,5
Shanghai Times,3.4,10,HBR Layout,Chinese,500.0,Dine-out,Kammanahalli,Quick Bites,1,0,1
Paratha Singh,4.0,304,Kalyan Nagar,North Indian,350.0,Dine-out,Kammanahalli,Unknown,1,0,1
Kanthari,3.9,95,Kalyan Nagar,"North Indian, Kerala, Chinese",400.0,Dine-out,Kammanahalli,Quick Bites,1,0,3
Al Madina Roll House,3.6,16,Kalyan Nagar,Biryani,150.0,Dine-out,Kammanahalli,Quick Bites,1,0,1
Pooja Dosa Camp,4.0,134,Banaswadi,South Indian,200.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
Chinnu's Mane Biryani,3.5,11,Banaswadi,Biryani,300.0,Dine-out,Kammanahalli,Quick Bites,1,0,1
Brindavan Veg,3.7,22,HBR Layout,"South Indian, North Indian, Chinese, Street Food",350.0,Dine-out,Kammanahalli,Quick Bites,1,0,4
Despiwich Dragon's Kitchen,3.8,72,Banaswadi,"Chinese, Fast Food",250.0,Dine-out,Kammanahalli,Quick Bites,1,0,2
Domino's Pizza,3.5,383,Kalyan Nagar,"Pizza, Fast Food",400.0,Dine-out,Kammanahalli,Quick Bites,1,0,2
Dhadoom,3.8,26,Kalyan Nagar,Fast Food,400.0,Dine-out,Kammanahalli,Quick Bites,1,0,1
Mangalore Lunch Home,3.2,35,HBR Layout,"Mangalorean, Seafood",300.0,Dine-out,Kammanahalli,Quick Bites,1,0,2
Chaat Street,4.0,498,Kalyan Nagar,"Street Food, North Indian",250.0,Dine-out,Kammanahalli,Quick Bites,1,0,2
Donne Biryani Kuteera,3.8,301,Banaswadi,Biryani,200.0,Dine-out,Kammanahalli,Quick Bites,1,0,1
Matru Sagar,4.0,332,Kalyan Nagar,"South Indian, North Indian, Chinese",300.0,Dine-out,Kammanahalli,Quick Bites,1,0,3
Sri Banashankari Donne Biriyani,3.7,80,Banaswadi,Biryani,150.0,Dine-out,Kammanahalli,Quick Bites,1,0,1
Lakeview Milkbar,2.9,19,Kalyan Nagar,"Desserts, Fast Food, Beverages",450.0,Dine-out,Kammanahalli,Dessert Parlor,0,0,3
Al Barack Cafetaria,3.6,20,Banaswadi,Arabian,300.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
Ambujam's Chettinad Mess,3.2,27,Banaswadi,"South Indian, Chettinad",400.0,Dine-out,Kammanahalli,Quick Bites,1,0,2
Vijayalaxmi Veg,0.0,0,Banaswadi,"North Indian, South Indian, Chinese, Fast Food",200.0,Dine-out,Kammanahalli,Quick Bites,1,0,4
Leon Grill,4.2,398,Kalyan Nagar,"Burger, Fast Food",500.0,Dine-out,Kammanahalli,Quick Bites,1,0,2
Kenny's Restaurant,3.7,87,Banaswadi,Chinese,450.0,Dine-out,Kammanahalli,Quick Bites,1,0,1
Oye Hoye,3.8,69,Kalyan Nagar,North Indian,300.0,Dine-out,Kammanahalli,Quick Bites,1,0,1
Upsouth,3.8,59,Banaswadi,South Indian,300.0,Dine-out,Kammanahalli,Food Court,1,0,1
Subway,4.0,209,Kalyan Nagar,"Healthy Food, Sandwich, Salad",500.0,Dine-out,Kammanahalli,Quick Bites,1,0,3
Srinidhi Upachar,3.6,70,Banaswadi,"South Indian, Chinese",200.0,Dine-out,Kammanahalli,Quick Bites,0,0,2
Momma's Pastries Fine Bakery And Cafe,3.4,10,Banaswadi,"Bakery, Desserts, Fast Food",500.0,Dine-out,Kammanahalli,Bakery,1,0,3
De Grand Restaurant,3.9,268,Banaswadi,"North Indian, Chinese",600.0,Dine-out,Kammanahalli,Quick Bites,1,0,2
Srinidhi Veg Food Court,3.9,100,Kalyan Nagar,"Chinese, North Indian, South Indian",300.0,Dine-out,Kammanahalli,Quick Bites,1,0,3
Gowdru Hotel,3.5,78,Banaswadi,South Indian,400.0,Dine-out,Kammanahalli,Quick Bites,1,0,1
American Bites,2.4,48,Kalyan Nagar,"Fast Food, Burger, Pizza",450.0,Dine-out,Kammanahalli,Quick Bites,1,0,3
Coffee Thindi,3.5,15,Banaswadi,South Indian,150.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
Zabi,3.8,173,HBR Layout,Biryani,300.0,Dine-out,Kammanahalli,Quick Bites,1,0,1
Chintu Chit Chat Centre,3.6,16,Banaswadi,Street Food,100.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
Biswal's Food Circle,0.0,0,Banaswadi,"Chinese, North Indian",350.0,Dine-out,Kammanahalli,Quick Bites,0,0,2
Goli Vada Pav No.1,0.0,0,Banaswadi,Street Food,200.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
Cafe Nukkad,4.0,91,Kalyan Nagar,Fast Food,200.0,Dine-out,Kammanahalli,Quick Bites,1,0,1
Upahara Mandira,3.9,28,HBR Layout,"South Indian, North Indian, Chinese",300.0,Dine-out,Kammanahalli,Quick Bites,1,0,3
Eagles Pizza,3.8,22,Kalyan Nagar,"Pizza, Italian",650.0,Dine-out,Kammanahalli,Quick Bites,1,0,2
Vietnamese Kitchen,3.2,9,Kalyan Nagar,Vietnamese,150.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
Kanti Sweets,3.8,96,Banaswadi,"Mithai, Street Food",400.0,Dine-out,Kammanahalli,Quick Bites,1,0,2
Al-Baik Kabab Centre,0.0,0,Banaswadi,"Biryani, Chinese, Kebab",300.0,Dine-out,Kammanahalli,Quick Bites,0,0,3
Indie Fusion Multi Cuisine Restaurant,3.3,4,Kalyan Nagar,"Fast Food, Arabian, North Indian",400.0,Dine-out,Kammanahalli,Quick Bites,1,0,3
29 Degrees North,3.9,287,Banaswadi,"North Indian, Fast Food, Street Food",250.0,Dine-out,Kammanahalli,Quick Bites,1,0,3
Fatty Chang,3.2,4,HBR Layout,Chinese,300.0,Dine-out,Kammanahalli,Quick Bites,1,0,1
Shiva's Naram Garam,3.3,4,Banaswadi,"North Indian, Chinese",250.0,Dine-out,Kammanahalli,Quick Bites,0,0,2
SGS Nonveg- Gundu Palav,3.6,25,Kalyan Nagar,"Biryani, Fast Food",400.0,Dine-out,Kammanahalli,Quick Bites,0,0,2
The French Corner,3.5,11,Kalyan Nagar,"Bakery, Desserts, Fast Food",400.0,Dine-out,Kammanahalli,Bakery,0,0,3
North Se South Veg & Non-Veg Restaurants,3.6,18,Banaswadi,"South Indian, North Indian, Chinese",250.0,Dine-out,Kammanahalli,Quick Bites,1,0,3
Biryani Paradise,0.0,0,Banaswadi,"Biryani, Fast Food",200.0,Dine-out,Kammanahalli,Quick Bites,0,0,2
7 to 11 Food Court,3.7,18,Banaswadi,"Fast Food, Burger, North Indian, South Indian",200.0,Dine-out,Kammanahalli,Quick Bites,1,0,4
California Burrito,3.4,24,Banaswadi,"Mexican, Fast Food",400.0,Dine-out,Kammanahalli,Food Court,0,0,2
Yi Moi Chinese Fast Food,3.4,5,Kalyan Nagar,Chinese,100.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
Twilight Global Restaurant,3.6,37,Kalyan Nagar,"North Indian, Chinese",600.0,Dine-out,Kammanahalli,Quick Bites,1,0,2
Chikpet Donne Biriyani Corner,3.7,8,Kalyan Nagar,"Biryani, North Indian",300.0,Dine-out,Kammanahalli,Quick Bites,1,0,2
Malabar Food Court,3.4,10,HBR Layout,"Kerala, South Indian",300.0,Dine-out,Kammanahalli,Quick Bites,1,0,2
S L V Food Joint,3.5,16,Kalyan Nagar,"North Indian, Rolls",250.0,Dine-out,Kammanahalli,Quick Bites,1,0,2
Balle Balle Dhaba,3.6,199,Kalyan Nagar,"North Indian, Chinese",500.0,Dine-out,Kammanahalli,Quick Bites,1,0,2
Udupi Gardenia,3.3,21,Banaswadi,South Indian,400.0,Dine-out,Kammanahalli,Quick Bites,1,0,1
Cake House - Story Cafe,3.8,79,Kalyan Nagar,"Bakery, Desserts",650.0,Dine-out,Kammanahalli,Quick Bites,0,0,2
Venky's Xprs,3.7,37,Kalyan Nagar,"Fast Food, Raw Meats",400.0,Dine-out,Kammanahalli,Quick Bites,1,0,2
Pizza Stop,3.8,153,Banaswadi,"Pizza, Italian",500.0,Dine-out,Kammanahalli,Quick Bites,1,0,2
Cafe 99 Kerala Mess,4.0,154,Kalyan Nagar,"Kerala, Biryani, Seafood, North Indian",500.0,Dine-out,Kammanahalli,Quick Bites,1,0,4
Papanna's Biriyani,3.7,39,Banaswadi,"South Indian, Biryani",350.0,Dine-out,Kammanahalli,Quick Bites,0,0,2
WOW! Momo,2.8,40,Banaswadi,"Tibetan, Momos",400.0,Dine-out,Kammanahalli,Food Court,1,0,2
Curries & Chillies,3.0,20,Banaswadi,"Biryani, Andhra",300.0,Dine-out,Kammanahalli,Quick Bites,0,0,2
Sri Devi Sagar,3.7,161,Banaswadi,"South Indian, North Indian, Chinese, Street Food",300.0,Dine-out,Kammanahalli,Quick Bites,0,0,4
Hyderbadi Irani Tea,3.4,10,Banaswadi,Beverages,100.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
Raghavendra Bhavan,3.2,4,Banaswadi,"South Indian, North Indian, Chinese",250.0,Dine-out,Kammanahalli,Quick Bites,0,0,3
T-hut Cafe,3.6,21,Banaswadi,"Chinese, Beverages",300.0,Dine-out,Kammanahalli,Quick Bites,1,0,2
Cafe P Square,3.8,27,Kalyan Nagar,"Street Food, Beverages, Fast Food",250.0,Dine-out,Kammanahalli,Quick Bites,1,0,3
Udupi Sri Krishna Cafe,3.8,22,Banaswadi,"South Indian, North Indian",200.0,Dine-out,Kammanahalli,Quick Bites,1,0,2
Wood Fire Pizza,3.1,4,HBR Layout,Pizza,350.0,Dine-out,Kammanahalli,Quick Bites,1,0,1
Reddy's Naati Mane,3.4,15,Banaswadi,"South Indian, BBQ",400.0,Dine-out,Kammanahalli,Quick Bites,0,0,2
New Udupi Upahara,3.7,85,Kalyan Nagar,"Chinese, North Indian, South Indian",200.0,Dine-out,Kammanahalli,Quick Bites,0,0,3
Rolls On Wheels,2.8,69,Banaswadi,"Fast Food, Rolls, Momos",300.0,Dine-out,Kammanahalli,Quick Bites,0,0,3
Hotel Prameela Veg,0.0,0,Banaswadi,South Indian,100.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
BS Kolkatta Chats,0.0,0,Kalyan Nagar,Street Food,100.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
IFun Burgers N More,0.0,0,Banaswadi,Fast Food,300.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
Jwala Indian & Chinese Fast Food,0.0,0,Kalyan Nagar,North Indian,200.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
Hotel Chirag,0.0,0,Banaswadi,South Indian,250.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
Bismillah Kabab Center,0.0,0,HBR Layout,"Kebab, Fast Food",200.0,Dine-out,Kammanahalli,Quick Bites,1,0,2
AL Afreen's Biryani Paradise,0.0,0,Kalyan Nagar,"North Indian, Biryani, Chinese",200.0,Dine-out,Kammanahalli,Quick Bites,0,0,3
Taste Of Andhra,0.0,0,Kalyan Nagar,"Andhra, South Indian",300.0,Dine-out,Kammanahalli,Quick Bites,0,0,2
Halli Mane Hotel,0.0,0,Kalyan Nagar,South Indian,300.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
Meat And Eat,3.2,34,Banaswadi,"Fast Food, Burger",500.0,Dine-out,Kammanahalli,Quick Bites,1,0,2
Kasturi Vihar,0.0,0,Banaswadi,"South Indian, Chinese",200.0,Dine-out,Kammanahalli,Quick Bites,0,0,2
Madurai Idly Dosai Centre,3.3,16,Banaswadi,South Indian,150.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
Aahara,0.0,0,Banaswadi,"Modern Indian, Biryani",300.0,Dine-out,Kammanahalli,Quick Bites,0,0,2
M.M.A Kabab Rolls & Biriyani Center,3.7,95,Banaswadi,"Arabian, Mughlai, Chinese, Kebab, Fast Food",400.0,Dine-out,Kammanahalli,Quick Bites,1,0,5
New York Burrito,3.1,7,Banaswadi,Mexican,400.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
Chetty's Coffee,3.5,87,Kalyan Nagar,South Indian,150.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
The Fresh 'N' Grill,0.0,0,Banaswadi,Fast Food,150.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
Nutri Fit,0.0,0,Banaswadi,North Indian,300.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
Lenny's Kitchen,0.0,0,Banaswadi,"Chinese, Italian",300.0,Dine-out,Kammanahalli,Quick Bites,1,0,2
Sai Bhavan Veg & Non Veg,3.2,11,Banaswadi,"Mughlai, Chinese, South Indian",400.0,Dine-out,Kammanahalli,Quick Bites,1,0,3
Christy's Chicken Biryani,0.0,0,Banaswadi,Biryani,200.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
Spice Room,0.0,0,Kalyan Nagar,Andhra,400.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
Famous Kabab Center,0.0,0,HBR Layout,Kebab,150.0,Dine-out,Kammanahalli,Quick Bites,1,0,1
Taste The Flame,0.0,0,Banaswadi,"Arabian, North Indian, Biryani, Kebab",400.0,Dine-out,Kammanahalli,Quick Bites,0,0,4
Sapna's Kitchen,0.0,0,Banaswadi,"Chinese, North Indian, South Indian",400.0,Dine-out,Kammanahalli,Quick Bites,0,0,3
Razakhiya Hotel,0.0,0,HBR Layout,"Biryani, Kebab",250.0,Dine-out,Kammanahalli,Quick Bites,0,0,2
Reddy's Corner Restaurant,0.0,0,Banaswadi,"North Indian, Chinese",300.0,Dine-out,Kammanahalli,Quick Bites,0,0,2
Ambur Hot Dum Biriyani,0.0,0,Kalyan Nagar,Biryani,120.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
Sri Nandi Dosa Mane,0.0,0,Banaswadi,South Indian,150.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
New Udupi Grand,3.3,5,HBR Layout,"North Indian, South Indian, Chinese",200.0,Dine-out,Kammanahalli,Quick Bites,0,0,3
Bhuvaneshwari Mess,0.0,0,Kalyan Nagar,"South Indian, North Indian, Biryani",250.0,Dine-out,Kammanahalli,Quick Bites,0,0,3
Biriyummy,3.3,6,Banaswadi,"Biryani, Kebab",250.0,Dine-out,Kammanahalli,Quick Bites,0,0,2
Sri Datta Biryani House,3.5,54,Banaswadi,"Andhra, Biryani, Chinese, North Indian",300.0,Dine-out,Kammanahalli,Quick Bites,0,0,4
Panchamukhi Sagar,3.2,4,Banaswadi,"North Indian, South Indian, Chinese",300.0,Dine-out,Kammanahalli,Quick Bites,0,0,3
Hungry Bite Cafe,0.0,0,Banaswadi,"Fast Food, Beverages",300.0,Dine-out,Kammanahalli,Quick Bites,0,0,2
Al Aziz Durbar,0.0,0,Banaswadi,"Arabian, Mughlai",350.0,Dine-out,Kammanahalli,Quick Bites,0,0,2
Delish Chinese Fast Food,3.2,4,Banaswadi,"Chinese, North Indian, Biryani",300.0,Dine-out,Kammanahalli,Quick Bites,1,0,3
Curries & Chillies,3.1,13,Kalyan Nagar,Andhra,400.0,Dine-out,Kammanahalli,Quick Bites,1,0,1
Best B Restaurant,3.5,12,HBR Layout,"South Indian, North Indian, Chinese, Kerala",400.0,Dine-out,Kammanahalli,Quick Bites,0,0,4
New Ruchi Veg Non Veg,0.0,0,Banaswadi,Fast Food,150.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
Curries & Pickles,0.0,0,Banaswadi,Andhra,200.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
Sri Krishna,0.0,0,Banaswadi,Fast Food,300.0,Dine-out,Kammanahalli,Quick Bites,0,0,1
S-Aachies Hotel,3.2,6,Banaswadi,"South Indian, Chinese, Biryani",300.0,Dine-out,Kammanahalli,Quick Bites,0,0,3
Hotel Gowdru Mane,0.0,0,Banaswadi,"South Indian, Mangalorean, Chinese, Juices",400.0,Dine-out,Kammanahalli,Quick Bites,0,0,4
Leela's Kitchen,3.8,104,Banaswadi,"Kerala, South Indian, North Indian, Chinese",400.0,Dine-out,Kammanahalli,Quick Bites,0,0,4
Udupas Veg Restaurant,3.2,11,Banaswadi,"South Indian, North Indian",300.0,Dine-out,Kammanahalli,Quick Bites,0,0,2
